gene	log2FC	pvalue	padjs
Gx78472	0.054	0.311	0.311
Gx11619	-0.538	0.00565	0.00565
Gx23141	-0.254	0.279	0.279
Gx16740	-0.18	0.445	0.445
Gx58775	0.055	0.818	0.818
Gx71792	0.037	0.628	0.628
Gx13662	0.002	0.971	0.971
Gx52982	-0.248	0.442	0.442
Gx87061	0.057	0.351	0.351
Gx80933	-0.031	0.556	0.556
Gx45130	-0.248	0.0619	0.0619
Gx25602	0.137	0.187	0.187
Gx30546	-0.185	0.788	0.788
Gx93219	0.02	0.665	0.665
Gx99434	0.071	0.719	0.719
Gx89187	0.073	0.394	0.394
Gx81652	-0.064	0.395	0.395
Gx76362	-0.149	0.138	0.138
Gx34801	-0.082	0.153	0.153
Gx33863	-0.072	0.421	0.421
Gx82651	-0.306	0.145	0.145
Gx94820	0.039	0.843	0.843
Gx52513	-0.128	0.24	0.24
Gx35491	-0.063	0.444	0.444
Gx13094	-0.206	0.499	0.499
Gx61325	-0.141	0.792	0.792
Gx50163	-0.547	0.17	0.17
Gx34448	0.071	0.17	0.17
Gx94045	0.026	0.703	0.703
Gx18280	0.036	0.665	0.665
Gx34483	0.228	0.325	0.325
Gx71808	0.483	0.318	0.318
Gx26962	-0.327	0.348	0.348
Gx38289	-0.215	0.271	0.271
Gx69532	0.007	0.968	0.968
Gx86828	0.005	0.923	0.923
Gx81421	-0.287	0.0441	0.0441
Gx50387	-0.025	0.933	0.933
Gx32764	-0.65	0.0119	0.0119
Gx35835	-0.023	0.838	0.838
Gx37945	0.089	0.218	0.218
Gx10958	0.037	0.723	0.723
Gx46060	0.017	0.858	0.858
Gx99815	-0.018	0.815	0.815
Gx64334	0.073	0.472	0.472
Gx54896	0.003	0.948	0.948
Gx71205	-0.287	0.0383	0.0383
Gx25818	-0.011	0.956	0.956
Gx98546	-0.263	0.246	0.246
Gx45454	0.135	0.385	0.385
Gx59445	0.777	0.0702	0.0702
Gx27855	0.301	0.0354	0.0354
Gx28025	-0.069	0.469	0.469
Gx23245	0.019	0.73	0.73
Gx41212	0.111	0.117	0.117
Gx73544	0.049	0.506	0.506
Gx33331	-0.342	0.252	0.252
Gx28625	-0.037	0.473	0.473
Gx51825	0.162	0.0847	0.0847
Gx44258	-0.223	0.206	0.206
Gx35258	-0.322	0.006	0.006
Gx40966	-0.152	0.367	0.367
Gx77394	0.025	0.866	0.866
Gx63526	0.053	0.493	0.493
Gx92236	-0.039	0.478	0.478
Gx50354	0.047	0.518	0.518
Gx15281	-0.061	0.358	0.358
Gx93613	0.024	0.721	0.721
Gx68113	0.166	0.393	0.393
Gx54799	0.008	0.892	0.892
Gx51325	0.424	0.177	0.177
Gx24594	-0.013	0.838	0.838
Gx28935	0.079	0.174	0.174
Gx31221	-0.054	0.476	0.476
Gx70875	-0.13	0.632	0.632
Gx59137	-0.21	0.121	0.121
Gx67630	0.322	0.144	0.144
Gx22980	-0.046	0.47	0.47
Gx62359	0.378	0.28	0.28
Gx46913	0	0.994	0.994
Gx85526	-0.055	0.42	0.42
Gx89586	-0.199	0.242	0.242
Gx47484	0.029	0.776	0.776
Gx60414	0.03	0.77	0.77
Gx45801	-0.03	0.641	0.641
Gx29098	-0.05	0.742	0.742
Gx95090	-0.032	0.597	0.597
Gx83191	-0.024	0.768	0.768
Gx36521	0.045	0.478	0.478
Gx84332	-0.331	0.318	0.318
Gx60522	-0.081	0.261	0.261
Gx22438	0.081	0.38	0.38
Gx97401	-0.591	0.00371	0.00371
Gx14306	0.097	0.345	0.345
Gx76683	-0.044	0.681	0.681
Gx16046	-0.096	0.342	0.342
Gx88598	0.091	0.314	0.314
Gx68878	0.371	0.0779	0.0779
Gx23011	0.047	0.764	0.764
Gx69437	0.061	0.566	0.566
Gx19809	-0.145	0.104	0.104
Gx60800	-0.177	0.521	0.521
Gx37750	-0.239	0.171	0.171
Gx15650	0.087	0.492	0.492
Gx33386	-0.071	0.418	0.418
Gx43399	-0.028	0.609	0.609
Gx68946	0.05	0.395	0.395
Gx21525	-0.028	0.863	0.863
Gx30114	-0.074	0.565	0.565
Gx49910	0.305	0.141	0.141
Gx91408	-0.139	0.048	0.048
Gx97286	-0.115	0.106	0.106
Gx41624	-0.002	0.97	0.97
Gx33022	0.056	0.834	0.834
Gx61933	0.024	0.594	0.594
Gx55248	-0.017	0.872	0.872
Gx15324	0.087	0.164	0.164
Gx39092	-0.001	0.99	0.99
Gx19645	0.373	0.422	0.422
Gx44464	0.005	0.991	0.991
Gx58825	0.056	0.428	0.428
Gx71556	-0.477	0.34	0.34
Gx25136	-0.63	0.00517	0.00517
Gx93734	0.083	0.289	0.289
Gx62053	0.049	0.647	0.647
Gx29503	-0.376	0.04	0.04
Gx41987	-0.08	0.732	0.732
Gx55859	-0.017	0.829	0.829
Gx58916	-0.862	0.0205	0.0205
Gx74517	-0.207	0.268	0.268
Gx29155	0.114	0.407	0.407
Gx18049	0.042	0.819	0.819
Gx44451	-0.077	0.531	0.531
Gx64983	0.016	0.748	0.748
Gx70704	-0.388	0.175	0.175
Gx49416	0.023	0.743	0.743
Gx15931	-0.238	0.0746	0.0746
Gx30311	-0.295	0.502	0.502
Gx24631	-0.03	0.772	0.772
Gx87273	-0.025	0.671	0.671
Gx10119	0.161	0.0862	0.0862
Gx52538	0.243	0.0284	0.0284
Gx54571	-0.271	0.279	0.279
Gx28836	0.097	0.314	0.314
Gx90214	-0.041	0.404	0.404
Gx61540	0.071	0.329	0.329
Gx50388	0.249	0.0812	0.0812
Gx73540	0.104	0.408	0.408
Gx97792	0.33	0.146	0.146
Gx90358	0.322	0.0137	0.0137
Gx45998	4.291	0.00483	0.00483
Gx45641	-0.464	0.044	0.044
Gx17451	0.07	0.232	0.232
Gx65105	-0.18	0.633	0.633
Gx59101	0.348	0.0439	0.0439
Gx48382	0.183	0.141	0.141
Gx60531	0.137	0.157	0.157
Gx87161	0.086	0.277	0.277
Gx52516	0.028	0.63	0.63
Gx52561	-0.615	0.151	0.151
Gx27650	-0.038	0.873	0.873
Gx17535	0.048	0.394	0.394
Gx47242	0.075	0.141	0.141
Gx77596	0.543	0.0635	0.0635
Gx58722	0.107	0.333	0.333
Gx38861	-0.127	0.322	0.322
Gx18573	-0.03	0.702	0.702
Gx26674	0.01	0.849	0.849
Gx16744	0.146	0.128	0.128
Gx90535	-0.037	0.734	0.734
Gx48935	-0.006	0.899	0.899
Gx31580	-0.102	0.166	0.166
Gx60035	0.018	0.744	0.744
Gx65677	-0.27	0.0998	0.0998
Gx28283	0.032	0.592	0.592
Gx64310	-0.036	0.776	0.776
Gx83521	0.11	0.334	0.334
Gx13366	-0.315	0.0138	0.0138
Gx85280	-0.231	0.656	0.656
Gx87956	0.014	0.782	0.782
Gx87846	0.013	0.779	0.779
Gx44726	-0.859	0.321	0.321
Gx67916	0.497	0.106	0.106
Gx51103	0.097	0.079	0.079
Gx42214	0.21	0.385	0.385
Gx68651	-0.096	0.532	0.532
Gx22806	-0.02	0.798	0.798
Gx39576	-0.057	0.517	0.517
Gx59076	0.049	0.362	0.362
Gx83238	0.079	0.5	0.5
Gx80121	0.436	0.0828	0.0828
Gx76587	-0.129	0.123	0.123
Gx21390	0.03	0.814	0.814
Gx16153	-0.165	0.0374	0.0374
Gx47500	0.072	0.347	0.347
Gx59651	-0.025	0.71	0.71
Gx64489	0.122	0.414	0.414
Gx15742	-0.08	0.693	0.693
Gx78341	0.13	0.0638	0.0638
Gx69455	-0.038	0.438	0.438
Gx21991	0.035	0.492	0.492
Gx92510	0.228	0.0267	0.0267
Gx60908	0.057	0.686	0.686
Gx99065	0.013	0.795	0.795
Gx73495	0.044	0.49	0.49
Gx56194	0.024	0.801	0.801
Gx76035	-0.063	0.363	0.363
Gx40471	0.021	0.763	0.763
Gx59744	0.031	0.842	0.842
Gx27918	0.021	0.814	0.814
Gx70157	-0.104	0.494	0.494
Gx16734	0.018	0.746	0.746
Gx16915	0.019	0.716	0.716
Gx25728	-0.078	0.146	0.146
Gx89710	-0.121	0.31	0.31
Gx79624	0.09	0.782	0.782
Gx35954	-0.013	0.809	0.809
Gx59991	-0.126	0.113	0.113
Gx45315	-0.035	0.536	0.536
Gx94926	0.003	0.979	0.979
Gx23356	0.138	0.416	0.416
Gx17123	-0.076	0.385	0.385
Gx23230	0.14	0.0385	0.0385
Gx28926	-0.386	0.192	0.192
Gx45074	0.118	0.316	0.316
Gx21222	0.055	0.79	0.79
Gx22792	-0.039	0.551	0.551
Gx26585	-0.133	0.451	0.451
Gx88878	-0.063	0.608	0.608
Gx72697	0.006	0.941	0.941
Gx74684	0.042	0.393	0.393
Gx58182	0.012	0.841	0.841
Gx60747	0.013	0.809	0.809
Gx41903	-0.117	0.625	0.625
Gx28862	0.734	0.0452	0.0452
Gx93207	-0.041	0.469	0.469
Gx44980	0.086	0.124	0.124
Gx31620	0.391	0.383	0.383
Gx62994	-0.027	0.665	0.665
Gx15372	0.05	0.385	0.385
Gx88030	0.087	0.636	0.636
Gx21433	-0.187	0.0903	0.0903
Gx32299	0.073	0.758	0.758
Gx10762	-0.357	0.15	0.15
Gx68232	0.066	0.584	0.584
Gx38542	-0.06	0.598	0.598
Gx22233	-0.532	0.0939	0.0939
Gx94929	-0.019	0.878	0.878
Gx70507	-0.118	0.181	0.181
Gx69456	0.098	0.151	0.151
Gx28456	0.106	0.452	0.452
Gx26140	0.106	0.108	0.108
Gx87028	0.082	0.32	0.32
Gx23391	-0.019	0.698	0.698
Gx96013	-0.029	0.798	0.798
Gx93804	-0.082	0.634	0.634
Gx69744	-0.17	0.15	0.15
Gx63102	0.146	0.0593	0.0593
Gx62901	0.149	0.195	0.195
Gx17923	0	1	1
Gx83257	-0.004	0.962	0.962
Gx16681	0.107	0.474	0.474
Gx42621	-0.02	0.732	0.732
Gx66767	0.039	0.75	0.75
Gx93000	-0.225	0.0929	0.0929
Gx11392	0.071	0.217	0.217
Gx61137	0.055	0.743	0.743
Gx25462	0.24	0.0794	0.0794
Gx49858	-0.319	0.391	0.391
Gx38957	-0.076	0.326	0.326
Gx59335	-0.025	0.868	0.868
Gx67982	-0.076	0.398	0.398
Gx54611	-0.117	0.737	0.737
Gx95251	0.284	0.468	0.468
Gx31428	-0.181	0.536	0.536
Gx15482	-0.039	0.901	0.901
Gx91235	0.259	0.0136	0.0136
Gx17498	-0.017	0.766	0.766
Gx50772	0.012	0.849	0.849
Gx47802	-0.144	0.145	0.145
Gx71418	-0.02	0.73	0.73
Gx55055	-0.707	0.473	0.473
Gx72038	0.09	0.453	0.453
Gx28328	-0.292	0.119	0.119
Gx87544	-0.091	0.224	0.224
Gx26702	-0.084	0.488	0.488
Gx41498	0.744	0.107	0.107
Gx76167	-0.173	0.0171	0.0171
Gx61200	-0.01	0.903	0.903
Gx73831	0.206	0.00751	0.00751
Gx10523	0.006	0.939	0.939
Gx93003	-0.181	0.0713	0.0713
Gx59998	0.087	0.263	0.263
Gx95572	-0.066	0.509	0.509
Gx46459	0.009	0.939	0.939
Gx95913	0.086	0.567	0.567
Gx57450	-0.662	0.00874	0.00874
Gx97533	-0.053	0.576	0.576
Gx49630	-0.086	0.289	0.289
Gx84336	0.203	0.094	0.094
Gx38814	0.242	0.192	0.192
Gx42137	0.038	0.52	0.52
Gx37955	0.199	0.516	0.516
Gx21544	-0.031	0.51	0.51
Gx35143	0.158	0.581	0.581
Gx73442	-0.181	0.116	0.116
Gx65317	0.016	0.812	0.812
Gx71623	-0.102	0.477	0.477
Gx73978	0.025	0.829	0.829
Gx12484	0.234	0.0814	0.0814
Gx69125	0.378	0.131	0.131
Gx61799	-0.052	0.727	0.727
Gx19235	0.247	0.539	0.539
Gx67421	-0.142	0.328	0.328
Gx91739	-0.209	0.311	0.311
Gx95242	0.114	0.354	0.354
Gx96104	0.006	0.944	0.944
Gx56923	-0.183	0.291	0.291
Gx70554	0.063	0.222	0.222
Gx58860	0.08	0.131	0.131
Gx13433	-0.121	0.0502	0.0502
Gx64585	0.002	0.981	0.981
Gx79421	0.014	0.846	0.846
Gx18511	-0.028	0.846	0.846
Gx53612	-0.039	0.449	0.449
Gx11780	-0.175	0.0881	0.0881
Gx40899	-0.039	0.763	0.763
Gx53142	0.207	0.152	0.152
Gx34033	-0.019	0.918	0.918
Gx92722	-0.031	0.669	0.669
Gx50710	-0.501	0.0956	0.0956
Gx83953	-0.037	0.741	0.741
Gx80318	0.005	0.954	0.954
Gx67755	0.249	0.354	0.354
Gx14453	0.172	0.35	0.35
Gx26401	0.006	0.91	0.91
Gx93933	-0.004	0.952	0.952
Gx59761	-0.124	0.159	0.159
Gx58124	-0.012	0.951	0.951
Gx55953	-0.014	0.961	0.961
Gx74852	0.57	0.0554	0.0554
Gx35207	-0.242	0.0685	0.0685
Gx35062	-0.061	0.478	0.478
Gx46707	0.035	0.732	0.732
Gx84382	0.293	0.363	0.363
Gx31617	0.115	0.0972	0.0972
Gx77008	0.013	0.78	0.78
Gx80404	0.083	0.127	0.127
Gx49788	-0.115	0.469	0.469
Gx45137	-0.501	0.147	0.147
Gx71988	0.051	0.321	0.321
Gx95937	0.049	0.634	0.634
Gx85201	-0.009	0.983	0.983
Gx66917	-0.629	0.212	0.212
Gx16263	-0.2	0.348	0.348
Gx55107	-0.029	0.544	0.544
Gx93265	-0.782	0.239	0.239
Gx88757	-0.091	0.601	0.601
Gx30499	-0.108	0.549	0.549
Gx39415	0.008	0.867	0.867
Gx85907	0.086	0.604	0.604
Gx78169	0.105	0.154	0.154
Gx22301	-0.225	0.0495	0.0495
Gx29355	0.121	0.068	0.068
Gx19383	0.056	0.57	0.57
Gx59343	0.244	0.131	0.131
Gx46720	0.107	0.0597	0.0597
Gx70520	-0.403	0.0649	0.0649
Gx29022	0.049	0.398	0.398
Gx51866	-0.18	0.0315	0.0315
Gx63647	-0.054	0.446	0.446
Gx86575	0.121	0.709	0.709
Gx94661	0.14	0.543	0.543
Gx63974	0.363	0.0109	0.0109
Gx74712	0.033	0.818	0.818
Gx60687	0.09	0.71	0.71
Gx60369	-0.067	0.538	0.538
Gx69247	-0.019	0.855	0.855
Gx21436	-0.038	0.45	0.45
Gx43504	-0.113	0.124	0.124
Gx21084	-0.11	0.295	0.295
Gx46063	-0.006	0.905	0.905
Gx34655	0.213	0.487	0.487
Gx34115	0.104	0.378	0.378
Gx15836	-0.424	0.0105	0.0105
Gx64855	-0.021	0.961	0.961
Gx61580	-0.008	0.875	0.875
Gx99718	-0.039	0.564	0.564
Gx96911	0.032	0.608	0.608
Gx53855	-0.002	0.97	0.97
Gx67666	-0.338	0.207	0.207
Gx99115	-0.001	0.982	0.982
Gx97034	-0.149	0.46	0.46
Gx38280	-0.018	0.854	0.854
Gx81100	0.151	0.232	0.232
Gx93555	0.07	0.769	0.769
Gx57762	-0.098	0.293	0.293
Gx71678	-0.143	0.255	0.255
Gx86187	0.196	0.125	0.125
Gx93195	-0.225	0.0193	0.0193
Gx57198	-0.017	0.93	0.93
Gx63835	0.011	0.82	0.82
Gx74071	0.133	0.62	0.62
Gx39587	-0.13	0.378	0.378
Gx80990	-0.117	0.213	0.213
Gx33924	0.528	0.00521	0.00521
Gx87702	0.043	0.516	0.516
Gx61126	-0.133	0.178	0.178
Gx99329	-0.089	0.262	0.262
Gx12577	0.006	0.967	0.967
Gx68872	0.74	0.371	0.371
Gx11441	0.02	0.858	0.858
Gx73228	0.238	0.195	0.195
Gx68595	-0.038	0.693	0.693
Gx15713	0.185	0.343	0.343
Gx91602	0.002	0.974	0.974
Gx32979	0.135	0.72	0.72
Gx60828	0.776	0.0531	0.0531
Gx56255	0.056	0.555	0.555
Gx86455	-0.003	0.946	0.946
Gx46265	0.161	0.25	0.25
Gx51237	0.008	0.878	0.878
Gx81477	0.148	0.04	0.04
Gx15565	-0.233	0.228	0.228
Gx79850	1.022	0.154	0.154
Gx14503	0.088	0.573	0.573
Gx62342	-0.016	0.933	0.933
Gx92406	-0.16	0.438	0.438
Gx65851	0.135	0.171	0.171
Gx38696	0.029	0.634	0.634
Gx44082	-0.052	0.398	0.398
Gx59902	0.049	0.436	0.436
Gx84040	0.03	0.577	0.577
Gx73067	0.185	0.487	0.487
Gx86266	0.033	0.642	0.642
Gx97944	0.278	0.109	0.109
Gx56113	-0.078	0.603	0.603
Gx23552	-0.056	0.56	0.56
Gx73817	-0.088	0.374	0.374
Gx43314	0.058	0.842	0.842
Gx35410	-0.168	0.0555	0.0555
Gx13137	0.334	0.0868	0.0868
Gx52445	-0.161	0.337	0.337
Gx63395	-0.257	0.0288	0.0288
Gx27763	-0.008	0.875	0.875
Gx10563	-0.581	0.0159	0.0159
Gx21349	0.021	0.734	0.734
Gx61627	0.039	0.814	0.814
Gx46069	0.508	0.217	0.217
Gx65160	0.095	0.362	0.362
Gx14273	-0.043	0.898	0.898
Gx59057	0.396	0.0997	0.0997
Gx24109	0.092	0.65	0.65
Gx10543	-0.136	0.199	0.199
Gx74162	0.114	0.078	0.078
Gx66280	-0.315	0.169	0.169
Gx34377	0.248	0.0989	0.0989
Gx75930	-0.223	0.503	0.503
Gx51412	0.13	0.0863	0.0863
Gx31132	-0.239	0.302	0.302
Gx76866	-0.175	0.0201	0.0201
Gx19558	0.08	0.439	0.439
Gx82055	0.057	0.487	0.487
Gx44973	-0.024	0.866	0.866
Gx12281	0.106	0.144	0.144
Gx74938	0.348	0.0202	0.0202
Gx58885	0.183	0.071	0.071
Gx17969	-0.232	0.0424	0.0424
Mefra	-0.651	0.000119	0.000119
Gx93520	-0.023	0.81	0.81
Gx20491	0.077	0.177	0.177
Gx34373	0.41	0.00127	0.00127
Gx92036	-0.08	0.485	0.485
Gx80793	0.077	0.139	0.139
Gx40109	0.435	0.0261	0.0261
Gx19736	0.042	0.566	0.566
Gx75452	-0.017	0.786	0.786
Gx12384	-0.003	0.963	0.963
Gx92220	0.008	0.873	0.873
Gx35799	-0.087	0.458	0.458
Gx29944	0.26	0.364	0.364
Gx81620	0.163	0.561	0.561
Gx94920	0.001	0.982	0.982
Gx26180	-0.021	0.873	0.873
Gx59975	-0.395	0.0748	0.0748
Gx92671	0.181	0.635	0.635
Gx61763	0.092	0.864	0.864
Gx13688	-0.074	0.537	0.537
Gx26548	-0.093	0.595	0.595
Gx62955	-0.075	0.649	0.649
Gx87957	0.126	0.0333	0.0333
Gx66555	0.007	0.969	0.969
Gx74051	-0.23	0.225	0.225
Gx34473	-0.385	0.00116	0.00116
Gx42152	-0.055	0.379	0.379
Gx70529	-0.004	0.938	0.938
Gx60044	0.262	0.059	0.059
Gx27973	0.846	0.0357	0.0357
Gx62584	-0.099	0.898	0.898
Gx27538	-0.031	0.585	0.585
Gx52506	0.169	0.353	0.353
Gx15368	0.034	0.652	0.652
Gx54858	-0.013	0.785	0.785
Gx78933	-0.089	0.27	0.27
Gx93537	-0.521	0.0374	0.0374
Gx43368	0.205	0.117	0.117
Gx54601	-0.138	0.624	0.624
Gx50312	0.184	0.632	0.632
Gx44910	0.154	0.531	0.531
Gx41135	-0.616	0.0107	0.0107
Gx93990	0.069	0.799	0.799
Gx59080	-0.01	0.872	0.872
Gx34404	-0.077	0.805	0.805
Gx42547	-0.079	0.245	0.245
Gx11052	0.045	0.368	0.368
Gx31524	-0.09	0.399	0.399
Gx54625	-0.111	0.329	0.329
Gx93397	-0.03	0.695	0.695
Gx99745	-0.04	0.455	0.455
Gx73172	0.098	0.721	0.721
Gx38741	-0.086	0.679	0.679
Gx23859	0.039	0.752	0.752
Gx54760	-1.038	0.013	0.013
Gx35829	-0.275	0.244	0.244
Gx79040	-0.136	0.229	0.229
Gx71787	0.519	0.00306	0.00306
Gx79327	0.362	0.195	0.195
Gx99251	-0.073	0.256	0.256
Gx59771	0.015	0.921	0.921
Gx67695	-0.173	0.325	0.325
Gx61028	-0.161	0.22	0.22
Gx72316	-0.202	0.033	0.033
Gx21816	0.168	0.116	0.116
Gx13713	0.026	0.817	0.817
Gx38919	0.097	0.458	0.458
Gx21001	0.037	0.568	0.568
Gx82976	-0.145	0.763	0.763
Gx22827	0.003	0.951	0.951
Gx96327	-0.228	0.0318	0.0318
Gx33500	0.029	0.816	0.816
Gx14266	0.087	0.224	0.224
Gx92102	0.054	0.789	0.789
Gx52340	-0.051	0.431	0.431
Gx60479	-0.168	0.0731	0.0731
Gx57602	0.339	0.0832	0.0832
Gx35139	-0.494	0.0387	0.0387
Gx34987	-0.036	0.505	0.505
Gx44233	0.027	0.766	0.766
Gx81355	-0.249	0.137	0.137
Gx56738	-0.11	0.492	0.492
Gx10431	0.066	0.459	0.459
Gx24231	-0.061	0.334	0.334
Gx48896	-0.136	0.585	0.585
Gx56878	0.095	0.139	0.139
Gx61663	0.492	0.229	0.229
Gx47199	0.54	0.211	0.211
Gx77303	-0.034	0.689	0.689
Gx37679	-0.026	0.754	0.754
Gx27869	-0.036	0.599	0.599
Gx63585	0.042	0.911	0.911
Gx77984	-0.05	0.762	0.762
Gx99224	-0.543	0.192	0.192
Gx67336	-0.04	0.663	0.663
Gx22315	-0.023	0.656	0.656
Gx76499	0.273	0.0733	0.0733
Gx39289	-0.668	0.0511	0.0511
Gx57623	0.071	0.599	0.599
Gx65155	0.079	0.235	0.235
Gx53560	-0.176	0.362	0.362
Gx94704	-0.125	0.333	0.333
Gx43631	0.07	0.336	0.336
Gx28018	-0.015	0.789	0.789
Gx52710	-0.02	0.797	0.797
Gx33580	0.188	0.139	0.139
Gx40407	-0.032	0.734	0.734
Gx73747	-0.046	0.337	0.337
Gx98369	-0.107	0.132	0.132
Gx82270	-0.113	0.313	0.313
Gx47047	-0.442	0.00221	0.00221
Gx25773	-0.051	0.438	0.438
Gx53340	-0.041	0.8	0.8
Gx75982	-0.45	0.0412	0.0412
Gx80592	0.107	0.52	0.52
Gx21521	-0.334	0.0163	0.0163
Gx70392	-0.15	0.0487	0.0487
Gx42815	0.061	0.638	0.638
Gx56238	0.267	0.469	0.469
Gx68876	-0.466	0.00838	0.00838
Gx50779	0.048	0.373	0.373
Gx46431	0.069	0.642	0.642
Gx91644	0.077	0.784	0.784
Gx83944	0.022	0.689	0.689
Gx20249	-0.231	0.134	0.134
Gx31287	-0.033	0.537	0.537
Gx72140	0.015	0.792	0.792
Gx63008	0.017	0.766	0.766
Gx57173	-0.064	0.343	0.343
Gx90620	-0.029	0.577	0.577
Gx17607	0.09	0.707	0.707
Gx32029	0.24	0.135	0.135
Gx24032	-0.072	0.276	0.276
Gx57149	0.005	0.934	0.934
Gx24762	0.108	0.405	0.405
Gx36881	0.075	0.135	0.135
Gx98044	-0.104	0.329	0.329
Gx60056	0.273	0.0838	0.0838
Gx55914	-0.124	0.0667	0.0667
Gx38050	0.126	0.335	0.335
Gx87779	0.039	0.71	0.71
Gx45226	-0.021	0.807	0.807
Gx32123	-0.191	0.049	0.049
Gx20120	-0.47	0.0881	0.0881
Gx14383	0.066	0.732	0.732
Gx49737	-0.158	0.296	0.296
Gx70083	-0.033	0.571	0.571
Gx85115	-0.039	0.792	0.792
Gx50417	-0.074	0.209	0.209
Gx55031	-0.207	0.0225	0.0225
Gx40693	0.374	0.125	0.125
Gx57903	0.148	0.176	0.176
Gx58483	-0.04	0.748	0.748
Gx96853	0.168	0.236	0.236
Gx78284	-0.073	0.796	0.796
Gx88729	-0.048	0.447	0.447
Gx92390	-0.157	0.216	0.216
Gx15225	0.324	0.0041	0.0041
Gx61899	0.048	0.359	0.359
Gx52277	-0.295	0.0743	0.0743
Gx87332	0.036	0.498	0.498
Gx16165	-0.06	0.243	0.243
Gx64946	0.596	0.0439	0.0439
Gx39661	0.222	0.0473	0.0473
Gx75220	0.023	0.706	0.706
Gx12330	-0.025	0.718	0.718
Gx12091	-0.114	0.275	0.275
Gx24214	0.017	0.753	0.753
Gx28678	0.098	0.156	0.156
Gx89006	-0.136	0.214	0.214
Gx38675	-0.016	0.919	0.919
Gx44473	-0.064	0.48	0.48
Gx91846	0.201	0.444	0.444
Gx47191	0.024	0.605	0.605
Gx70886	-0.113	0.311	0.311
Gx38734	-0.308	0.3	0.3
Gx12073	-0.256	0.516	0.516
Gx32104	-0.018	0.806	0.806
Gx37866	-0.313	0.0301	0.0301
Gx51458	-0.234	0.242	0.242
Gx15680	-0.381	0.209	0.209
Gx31499	-0.416	0.0845	0.0845
Gx72527	0.402	0.506	0.506
Gx94742	0.116	0.534	0.534
Gx15255	0.149	0.533	0.533
Gx40184	-0.048	0.501	0.501
Gx96051	0.024	0.665	0.665
Gx88163	0.041	0.457	0.457
Gx58321	0.059	0.466	0.466
Gx69881	0.003	0.978	0.978
Gx11031	-0.221	0.298	0.298
Gx73780	-0.314	0.012	0.012
Gx27454	0.09	0.239	0.239
Gx19362	-0.024	0.684	0.684
Gx34126	0.198	0.0517	0.0517
Gx60572	-0.175	0.251	0.251
Gx39969	-0.222	0.226	0.226
Gx10139	-0.651	0.311	0.311
Gx67312	-0.052	0.445	0.445
Gx87741	0.095	0.569	0.569
Gx64179	0.087	0.477	0.477
Gx25753	0.156	0.491	0.491
Gx84303	0.061	0.672	0.672
Gx87396	0.119	0.795	0.795
Gx64137	-0.184	0.0156	0.0156
Gx73730	-0.264	0.195	0.195
Gx65747	0.003	0.958	0.958
Gx90146	0.082	0.267	0.267
Gx66132	-0.091	0.483	0.483
Gx24387	0.023	0.965	0.965
Gx11385	-0.426	0.215	0.215
Gx91085	0.164	0.246	0.246
Gx99675	0.064	0.312	0.312
Gx48396	-0.659	0.0625	0.0625
Gx58138	-0.241	0.376	0.376
Gx91548	-0.006	0.938	0.938
Gx76026	0.406	0.319	0.319
Gx15764	0.053	0.897	0.897
Gx68430	-0.118	0.253	0.253
Gx57511	0.466	0.0434	0.0434
Gx35084	-0.145	0.261	0.261
Gx52820	-0.089	0.362	0.362
Gx43109	0.465	0.278	0.278
Gx87827	0.067	0.37	0.37
Gx87408	-0.021	0.719	0.719
Gx99784	-0.141	0.202	0.202
Gx57965	0.261	0.477	0.477
Gx17185	-0.146	0.234	0.234
Gx52650	-0.011	0.836	0.836
Gx97466	0.042	0.643	0.643
Gx86409	-0.015	0.962	0.962
Gx89212	-0.212	0.373	0.373
Gx38702	0.231	0.481	0.481
Gx90004	-0.05	0.44	0.44
Gx85259	-0.2	0.356	0.356
Gx40303	0.06	0.499	0.499
Gx36484	-0.092	0.741	0.741
Gx60265	-0.006	0.905	0.905
Gx34755	-0.241	0.482	0.482
Gx65218	-0.04	0.5	0.5
Ashor	-1.027	0.000207	0.000207
Gx37576	-0.1	0.243	0.243
Gx45028	-0.121	0.374	0.374
Gx85886	0.286	0.0177	0.0177
Gx56714	0.17	0.571	0.571
Gx40480	0.556	0.252	0.252
Gx69104	-0.087	0.312	0.312
Gx94501	-0.111	0.136	0.136
Gx92623	-0.13	0.0596	0.0596
Gx42131	-0.118	0.614	0.614
Gx87348	-0.042	0.571	0.571
Gx49006	0.053	0.681	0.681
Gx31922	-0.266	0.354	0.354
Gx42446	0.388	0.0241	0.0241
Gx29028	0.184	0.377	0.377
Gx51588	0.138	0.312	0.312
Gx21156	0.059	0.4	0.4
Gx42483	-0.323	0.107	0.107
Gx74425	-0.307	0.0266	0.0266
Gx55263	0.143	0.131	0.131
Gx87554	0.142	0.571	0.571
Gx15751	0.008	0.915	0.915
Gx70229	-0.013	0.925	0.925
Gx18046	0.129	0.45	0.45
Gx17018	-0.129	0.391	0.391
Gx82824	-0.006	0.975	0.975
Gx49331	0.644	0.171	0.171
Gx38866	-0.097	0.434	0.434
Gx26443	-0.064	0.401	0.401
Gx32182	-0.096	0.704	0.704
Gx34296	-0.052	0.826	0.826
Gx73792	-0.191	0.0319	0.0319
Gx81800	-0.069	0.255	0.255
Gx52285	-0.187	0.0659	0.0659
Gx29089	0.053	0.431	0.431
Gx97782	-0.471	0.0534	0.0534
